age,gender,region_category,membership_category,joining_date,joined_through_referral,preferred_offer_types,medium_of_operation,internet_option,days_since_last_login,avg_time_spent,avg_transaction_value,avg_frequency_login_days,points_in_wallet,used_special_discount,offer_application_preference,past_complaint,complaint_status,feedback,churn_risk_score
12,0,1,2,2017-10-13,0,0,0,0,10,238.72,30187.34,12.0,249.2967161,0,1,1,0,0,1
51,0,1,4,2016-01-04,1,1,1,2,14,30.56,36312.55,18.0,724.53,1,0,0,3,0,0
32,1,0,4,2015-03-17,0,2,0,1,8,55.78,26361.71,4.0,736.32,0,1,0,3,-1,0
30,0,0,0,2016-08-12,1,1,0,1,11,138.76,11798.6,21.0,904.262521,0,1,1,1,0,1
55,0,2,2,2017-04-05,0,1,1,0,19,33.37,29196.95,9.0,697.62,1,0,0,3,0,1
23,0,0,0,2016-08-12,0,0,0,2,-999,98.58,3469.96,21.0,707.5,0,1,1,1,0,1
41,1,1,3,2015-05-07,0,0,1,0,13,32.23,36816.19,25.0,287.4239901,1,0,1,1,0,1
61,1,1,3,2017-06-15,0,0,0,1,9,111.24,86508.52,9.0,759.64,0,1,0,3,1,0
61,1,2,2,2017-10-26,0,0,0,0,9,114.81,28636.11,17.0,658.47,1,0,1,0,0,1
50,0,0,5,2015-11-09,0,0,0,1,9,94.02,58299.85,10.0,697.62,1,0,1,4,1,0
24,1,1,1,2015-08-22,1,0,0,0,11,1253.84,18500.19,24.0,715.42,0,1,1,4,0,0
58,0,0,5,2017-02-10,1,0,0,0,9,170.96,33289.16,22.0,769.36,0,1,1,0,0,0
36,1,0,0,2017-12-01,1,2,2,2,14,1764.83,14256.94,21.0,697.62,1,1,0,3,0,1
18,1,0,4,2016-06-20,1,0,2,1,17,800.08,14912.47,24.0,697.62,1,1,0,3,0,0
26,1,1,5,2015-08-11,0,0,2,1,16,349.42,45392.09,13.0,384.9378799,0,1,1,2,0,0
31,0,0,0,2017-07-28,0,0,1,0,12,114.6,29550.11,16.0,634.48,0,1,0,3,0,1
13,1,0,0,2017-12-14,0,2,0,0,9,391.08,42025.92,17.0,1108.063485,1,0,0,3,-1,1
29,1,0,4,2015-01-12,0,0,0,2,13,111.06,81335.3,6.0,760.11,1,0,1,2,1,0
38,1,2,5,2016-10-25,0,2,0,0,19,121.96,87080.63,6.0,785.1,0,1,0,3,1,0
14,1,0,4,2016-08-03,0,0,0,1,5,126.91,13735.26,12.0,464.2548808,1,0,1,1,0,0
12,0,0,1,2015-01-02,1,2,0,0,7,941.26,28837.7,4.0,798.25,1,0,1,1,1,0
64,1,0,4,2015-06-21,0,1,0,1,9,246.22,4478.32,12.0,757.25,0,1,0,3,1,0
19,1,0,3,2016-04-19,1,1,0,1,11,466.0,71677.31,14.0,697.62,1,0,0,3,1,0
22,0,1,1,2016-01-08,0,0,0,2,12,81.5,32324.96,-25.36616806,762.38,0,1,0,3,0,0
17,0,1,3,2015-10-16,1,1,1,0,23,139.43,33911.86,6.0,795.64,0,1,0,3,0,0
61,0,0,1,2016-05-08,0,0,0,2,13,75.22,48966.37,16.0,697.62,1,0,1,1,0,1
22,0,1,3,2015-12-07,1,0,0,1,20,35.06,36672.54,28.0,700.79,0,1,0,3,0,1
54,1,0,1,2015-04-19,1,0,1,1,19,304.23,4266.67,10.0,743.18,1,1,1,2,-1,0
30,0,0,0,2017-06-11,0,0,0,2,5,30.65,5856.59,5.0,689.31,1,0,0,3,0,1
55,0,0,2,2015-09-15,0,1,0,1,12,492.8,25863.15,17.0,576.43,0,1,1,1,-1,1
48,1,2,5,2017-01-09,1,0,0,1,12,135.37,91369.6,5.0,799.11,0,1,1,1,1,0
34,1,0,3,2016-02-11,1,2,0,1,10,170.17,51580.76,18.0,365.487676,0,1,1,4,1,0
60,0,0,5,2015-10-02,1,2,2,0,14,1680.16,64488.64,5.0,754.13,1,0,1,4,-1,0
34,0,1,2,2016-02-25,0,2,1,1,11,1150.165094,44225.08,20.0,621.17,0,1,1,2,0,1
42,0,0,5,2017-04-30,0,2,2,2,11,356.92,25555.86,21.0,768.79,1,0,0,3,0,0
41,1,0,0,2017-06-21,1,2,0,2,8,63.95,43536.73,24.0,697.62,1,0,1,2,0,1
61,1,1,2,2017-01-07,1,0,1,0,8,57.8,15435.2,20.0,288.5963754,1,0,1,4,0,1
46,0,0,3,2016-01-27,1,2,0,1,13,1419.3,41046.5,17.0,736.09,1,1,1,0,0,0
13,1,0,2,2017-10-27,1,2,0,2,15,681.95,47232.33,14.0,901.7796455,1,1,0,3,0,1
20,0,0,3,2015-02-01,1,1,0,1,17,71.66,35383.03,11.0,667.65,1,0,1,0,0,1
42,0,0,2,2015-02-27,0,0,2,0,16,457.36,11171.27,6.0,659.83,0,1,0,3,-1,0
59,0,0,0,2017-02-11,1,0,0,1,10,182.14,25624.61,27.0,697.39,0,1,1,0,0,1
59,1,1,1,2017-04-09,0,2,0,1,14,37.29,30411.08,26.0,689.74,0,1,0,3,0,1
62,0,1,1,2016-05-10,1,0,1,1,14,41.32,38785.99,15.0,697.62,1,0,0,3,-1,0
14,0,0,5,2017-02-18,0,0,0,0,13,59.1,29674.44,16.0,522.0884018,1,0,1,2,0,0
61,1,0,4,2016-10-31,0,1,2,2,15,394.29,39913.14,25.49821321,810.37,1,1,1,0,-1,0
17,1,2,4,2016-10-16,0,1,0,0,20,52.57,83987.62,12.0,814.8,0,1,1,2,1,0
41,0,0,2,2016-08-02,1,0,1,0,23,36.24,24832.18,13.0,604.92,0,1,0,3,0,1
42,0,2,4,2015-10-06,1,2,0,1,10,551.79,28573.36,8.0,746.64,1,0,0,3,0,0
54,0,1,1,2017-10-04,0,2,1,0,19,59.01,41117.19,12.0,1169.644567,0,1,0,3,0,0
43,0,0,5,2016-05-25,1,0,1,0,14,90.9,42660.21,1.0,788.45,1,0,0,3,1,0
48,1,0,0,2015-08-24,1,1,1,0,17,213.86,43641.43,20.0,533.93,1,0,0,3,0,1
35,0,1,3,2017-09-07,1,2,1,2,15,985.0,50362.24,16.0,709.91,1,0,0,3,1,0
31,1,0,3,2015-01-01,1,2,0,0,13,132.82,18736.38,29.0,714.26,1,0,0,3,0,0
17,1,2,3,2017-03-20,1,0,1,2,6,305.83,32639.95,13.0,697.62,1,0,0,3,1,0
12,0,0,3,2016-03-05,0,1,0,2,5,356.69,44332.6,24.0,728.34,1,0,0,3,0,0
40,1,1,0,2016-09-23,1,1,1,2,20,494.7,41975.21,16.0,366.620174,0,1,1,1,0,1
55,0,0,1,2016-01-08,0,2,0,0,18,147.12,26287.02,6.0,715.42,1,0,1,0,0,1
42,0,2,3,2017-10-08,1,2,0,2,21,1266.218465,34819.72,9.0,679.45,0,1,0,3,0,0
50,0,1,4,2015-06-17,0,1,0,2,7,996.4887726,55957.63,16.0,760.52,0,1,0,3,1,0
42,1,0,1,2017-10-26,0,2,1,0,10,45.24,5009.94,24.0,697.62,0,1,0,3,0,1
32,0,0,5,2016-09-01,0,1,1,0,13,796.1,4604.46,17.0,712.55,1,0,0,3,0,0
50,0,0,5,2017-05-22,0,2,1,2,22,489.54,36897.39,29.59210025,704.38,1,0,0,3,0,0
43,0,0,2,2016-02-17,0,0,0,0,11,514.87,25127.88,26.0,549.79,0,1,1,0,0,1
51,0,0,1,2016-09-16,1,2,0,1,-999,626.94,23450.37,6.0,730.11,1,0,0,3,-1,0
15,1,1,5,2016-12-12,0,1,1,0,14,181.81,16539.02,19.0,741.19,0,1,0,3,-1,0
43,1,0,2,2015-01-13,0,1,1,0,11,501.55,42594.5,13.0,671.0,0,1,1,0,0,1
21,0,1,2,2016-04-23,1,1,1,0,4,185.08,40096.11,9.0,684.86,1,0,0,3,0,1
18,1,2,1,2017-10-14,0,2,1,1,5,-877.5928035,6094.31,18.0,697.62,0,1,0,3,-1,0
48,0,2,5,2017-07-06,0,2,1,2,18,303.86,61716.25,-15.82168209,743.64,1,1,1,2,1,0
35,0,1,3,2017-09-04,1,2,0,1,4,232.41,28089.8,13.0,656.62,1,0,0,3,0,1
49,1,1,2,2016-06-04,1,1,2,2,7,402.18,40085.01,27.0,707.2,1,0,1,1,0,1
13,0,2,0,2015-08-09,1,1,0,2,21,161.16,42507.64,23.0,513.28,0,1,1,0,0,1
51,0,0,1,2017-06-19,1,0,0,2,6,63.58,36834.87,16.0,742.17,1,0,1,1,0,0
45,0,1,5,2015-01-17,0,1,1,0,21,177.74,41935.78,27.97632788,744.27,0,1,0,3,0,0
31,0,0,0,2015-11-06,0,1,2,0,-999,732.25,16031.28,20.0,681.78,0,1,1,2,-1,1
48,0,1,0,2017-03-11,1,1,2,1,6,595.94,36704.41,27.0,681.0,0,1,1,4,0,1
62,1,0,0,2015-07-06,0,0,1,0,17,243.63,21873.99,16.0,666.06,0,1,1,0,-1,1
47,0,0,2,2017-10-21,1,0,1,0,2,137.53,44239.78,29.0,596.52,0,1,0,3,0,1
39,1,0,3,2017-01-17,0,2,0,0,5,-726.3589963,6664.28,27.0,782.89,0,1,1,0,0,0
40,0,2,3,2017-04-20,0,1,1,0,13,105.06,17542.87,16.0,1152.194736,1,0,1,4,-1,0
62,1,0,0,2017-08-26,0,1,1,0,15,99.67,45724.45,9.0,611.1,0,1,0,3,0,1
41,0,2,0,2015-12-01,0,0,1,0,2,225.05,6199.59,12.0,683.98,1,0,0,3,0,1
25,1,0,2,2017-12-09,0,1,0,2,12,86.26,26316.58,15.0,666.46,1,0,0,3,0,1
50,1,1,0,2015-09-30,0,1,0,2,15,398.32,36227.55,28.0,511.52,0,1,0,3,0,1
16,1,1,3,2017-07-16,1,1,1,2,5,75.82,30879.18,12.0,702.73,0,1,1,0,0,0
45,1,0,2,2015-02-15,0,0,1,1,16,152.31,18666.39,9.0,566.82,0,1,1,2,0,1
38,1,2,3,2015-09-13,0,0,0,1,19,368.99,47081.61,13.0,609.68,1,1,0,3,0,1
60,1,0,3,2017-10-01,0,0,1,1,2,270.83,3135.7,16.0,706.37,1,0,0,3,0,1
27,0,1,1,2015-04-23,0,0,1,1,14,31.34,32766.83,28.0,645.77,0,1,1,2,0,1
11,0,1,5,2015-02-10,1,2,2,2,-999,619.41,24794.72,16.0,749.45,0,1,1,4,0,0
51,0,0,3,2017-02-20,0,2,1,0,17,57.49,6952.65,19.0,665.17,1,0,0,3,0,1
35,1,0,0,2016-06-04,1,0,0,2,5,55.66,48073.83,20.0,655.01,0,1,0,3,-1,1
42,1,1,3,2017-08-07,1,1,2,2,5,502.94,47301.17,25.0,792.17,0,1,1,1,0,0
21,1,1,3,2015-10-20,0,2,0,0,11,78.83,10484.47,12.0,775.91,0,1,0,3,0,0
12,0,2,1,2015-11-11,0,1,1,1,-999,-458.8277092,62408.64,14.0,773.07,1,0,0,3,1,0
35,1,2,2,2016-05-10,1,0,1,0,24,49.64,45525.65,8.0,674.66,0,1,0,3,0,1
50,0,0,4,2016-08-16,0,1,0,0,16,350.26,38241.77,19.0,731.58,0,1,0,3,0,0
48,0,0,4,2017-03-13,0,0,1,2,19,71.4,6345.94,27.0,697.62,1,0,0,3,0,0
18,1,0,2,2017-02-16,1,0,0,0,14,56.8,24662.96,28.0,698.93,0,1,1,4,-1,1
63,0,1,0,2017-05-10,0,2,0,0,13,400.15,43265.4,29.0,675.11,0,1,0,3,0,1
27,1,1,1,2016-10-11,0,1,0,2,4,267.95,42223.29,2.0,730.25,0,1,0,3,1,0
27,0,2,5,2015-10-04,1,1,0,0,18,263.53,62192.59,8.0,798.26,0,1,1,1,1,0
12,1,2,3,2016-11-06,1,2,0,2,5,197.64,89212.84,16.0,697.62,1,0,0,3,1,0
33,1,0,5,2015-06-21,0,0,0,1,15,1138.222573,39819.6,9.0,829.98,0,1,1,0,1,0
37,0,1,3,2016-06-13,0,2,0,2,-999,89.41,19371.31,16.0,725.78,0,1,1,1,0,0
64,0,2,3,2017-05-19,0,2,0,2,8,231.76,49837.58,17.0,722.86,1,0,0,3,0,0
18,1,0,0,2016-12-11,0,1,0,2,15,33.73,21317.3,21.0,542.3216271,0,1,1,0,0,1
23,1,0,2,2016-06-30,1,2,0,1,9,768.0,37977.41,7.0,697.62,1,1,0,3,0,1
32,0,2,0,2017-12-25,1,2,0,2,19,42.2,37891.74,28.0,536.55,0,1,1,4,0,1
63,0,2,3,2015-12-15,0,1,0,2,13,245.03,13767.34,25.0,609.02,0,1,1,4,0,1
62,0,0,3,2016-02-08,0,0,1,1,-999,129.66,41392.39,13.0,730.22,1,0,1,2,0,0
34,0,0,0,2016-03-28,0,1,1,2,23,186.02,19011.81,28.0,557.78,1,0,1,2,0,1
58,1,1,1,2017-06-14,0,2,0,0,16,72.61,3864.1,16.0,1194.544725,1,0,1,1,1,0
36,1,0,3,2017-10-25,1,2,2,1,8,527.26,34231.36,19.0,746.51,1,0,0,3,0,0
60,1,1,1,2017-10-20,1,2,0,0,-999,508.42,16256.26,12.0,697.78,0,1,1,1,0,1
56,0,2,2,2017-09-16,0,1,1,2,5,36.39,36272.41,11.0,544.19,0,1,1,4,0,1
52,0,0,2,2017-02-06,1,0,1,2,-999,176.77,14969.84,9.0,541.62,0,1,0,3,-1,1
54,0,1,3,2015-07-19,0,2,1,2,13,33.55,18638.75,21.0,771.75,1,0,0,3,0,0
19,1,0,4,2015-07-07,0,1,0,0,10,413.03,31341.4,6.0,1244.831412,1,0,0,3,0,0
45,1,0,0,2017-02-06,1,2,0,0,10,158.11,36732.11,14.0,570.43,1,0,0,3,-1,1
61,0,1,4,2015-09-15,0,0,0,1,15,355.16,3097.79,11.0,736.95,1,1,1,2,-1,0
58,0,0,0,2017-03-01,0,2,0,2,11,200.31,30880.34,12.0,691.22,1,0,0,3,0,1
32,1,1,2,2017-05-12,0,0,0,1,23,179.35,18123.27,22.0,1044.033597,0,1,1,4,0,1
56,0,0,4,2017-07-08,0,0,1,1,16,34.93,47598.33,13.0,752.4,1,0,0,3,0,0
47,0,1,3,2016-03-09,0,1,1,2,18,496.39,37584.52,9.0,722.97,0,1,0,3,0,0
50,0,0,1,2016-07-19,1,0,0,1,22,91.42,6864.39,35.22716067,795.78,1,0,0,3,0,0
21,1,1,0,2016-06-02,0,1,0,2,20,368.91,18709.09,15.0,526.05,1,0,0,3,0,1
48,0,0,1,2015-01-03,0,1,1,0,12,30.28,18834.29,29.0,791.67,0,1,0,3,0,0
63,1,1,1,2017-04-04,0,0,0,0,13,136.77,34340.23,17.0,1006.669348,0,1,1,1,0,0
63,1,1,1,2017-02-26,0,2,0,0,9,261.66,7210.57,27.0,686.09,1,0,0,3,0,1
28,1,0,2,2016-01-14,0,0,1,2,15,31.37,26025.63,6.0,949.2938502,0,1,1,2,0,1
61,1,0,2,2017-10-16,1,0,0,1,16,169.51,11271.18,11.0,611.17,1,0,0,3,0,1
59,0,1,1,2017-05-30,1,0,1,0,16,617.63,26176.19,16.0,680.85,1,1,1,2,0,1
55,0,0,5,2016-06-27,1,2,0,1,3,135.0,26149.45,29.0,750.29,1,0,0,3,0,0
58,1,2,0,2016-06-20,0,2,0,0,-999,99.77,19078.07,25.0,541.87,0,1,1,0,0,1
35,0,0,0,2015-06-27,0,0,1,1,11,157.32,30382.52,26.0,564.8,1,0,0,3,0,1
55,1,0,4,2017-04-15,0,2,1,2,14,183.28,29238.04,27.0,697.62,1,0,1,0,-1,0
23,1,0,0,2017-09-25,0,0,2,0,5,269.6,22779.94,16.0,636.43,0,1,0,3,0,1
18,1,1,3,2017-09-09,0,0,0,1,5,190.66,17012.74,3.0,729.24,1,0,0,3,-1,0
34,0,1,2,2017-09-04,1,1,1,0,5,164.57,19284.33,28.0,809.5853211,0,1,0,3,0,1
61,0,0,2,2017-06-16,1,2,1,0,18,81.92,35353.81,6.0,1157.546198,0,1,0,3,-1,1
46,0,1,4,2015-05-09,0,0,0,2,13,-930.0062203,13332.77,27.0,781.5,0,1,1,0,-1,0
36,0,1,3,2015-04-20,1,0,0,2,17,33.24,8830.3,19.0,177.1264294,1,0,0,3,0,0
39,0,1,0,2015-07-10,1,2,0,0,24,31.46,44567.11,17.0,660.23,0,1,1,0,0,1
60,1,1,4,2016-02-08,0,2,1,2,16,33.68,16460.94,10.0,780.78,0,1,0,3,0,0
20,1,1,0,2016-09-05,0,1,0,2,11,344.57,30683.56,21.0,655.02,1,0,1,2,0,1
47,1,1,2,2015-08-27,1,0,2,0,11,203.3,32719.84,20.0,641.01,1,0,1,4,0,1
50,0,0,4,2015-04-11,1,0,0,2,10,565.14,99694.82,16.0,697.62,1,0,0,3,1,0
52,0,0,2,2015-06-12,1,0,1,2,-999,631.83,48385.54,16.0,667.46,1,0,1,4,0,1
58,0,0,1,2015-05-13,1,0,1,0,13,1120.5,87118.64,16.0,811.85,1,0,1,1,1,0
12,1,0,2,2015-03-06,0,1,0,2,21,73.48,37030.96,25.0,622.03,1,0,1,1,0,1
27,1,0,0,2016-03-23,1,2,0,0,12,120.77,46214.04,14.0,648.63,0,1,1,0,0,1
19,1,0,2,2015-01-19,1,1,1,2,6,1604.838452,20110.89,27.0,268.9065459,1,1,1,2,-1,1
20,1,0,2,2015-05-23,1,0,1,2,13,178.52,38300.21,10.0,224.0518042,1,0,0,3,0,0
47,1,1,0,2017-12-08,0,0,0,0,16,228.19,46018.52,12.0,697.62,0,1,1,0,0,1
32,0,0,3,2015-05-19,1,1,0,2,10,518.87,46160.3,7.0,697.62,0,1,1,2,0,0
17,0,0,1,2016-06-24,1,1,0,0,7,182.94,35538.17,37.86554737,673.05,0,1,1,4,-1,1
16,0,0,2,2015-12-01,0,0,1,1,16,131.64,9682.61,25.0,626.41,0,1,1,0,0,1
47,1,2,0,2017-01-20,0,2,1,2,15,1051.747272,11287.45,20.0,656.12,1,0,1,2,0,1
41,1,1,1,2017-01-07,0,2,1,0,12,70.83,59204.72,7.0,798.31,0,1,0,3,1,0
42,1,1,2,2016-12-22,0,0,0,1,7,413.65,15399.11,10.0,697.62,0,1,1,1,0,1
35,1,0,2,2015-05-20,1,1,1,0,8,194.53,21407.75,22.0,620.48,0,1,1,2,0,1
32,1,1,3,2015-08-02,1,0,0,1,9,36.49,4845.92,19.0,1166.265383,1,0,0,3,0,1
19,0,0,5,2016-10-16,0,1,0,2,15,201.05,99662.86,11.0,837.36,1,0,1,4,-1,0
37,1,1,0,2017-01-19,0,2,1,0,12,121.9,11124.08,17.0,673.14,0,1,0,3,0,1
52,1,0,0,2015-01-05,0,0,0,1,-999,31.65,16206.3,27.0,580.18,1,0,0,3,0,1
34,1,0,2,2015-10-02,0,0,0,0,16,155.78,43477.86,26.0,616.3,1,0,1,0,0,1
54,0,0,2,2016-02-26,0,2,0,1,25,220.43,30273.12,18.0,606.03,1,1,0,3,0,1
28,1,2,3,2015-01-16,0,1,1,2,9,134.53,42594.77,15.0,747.7,1,0,0,3,0,0
24,0,1,3,2016-03-07,0,2,0,2,14,1429.82204,48452.79,16.0,725.54,1,0,0,3,0,0
11,1,0,0,2017-10-12,0,0,1,0,9,73.35,37123.71,17.0,505.46,1,0,1,4,-1,1
44,1,0,0,2016-07-23,1,1,0,2,11,102.51,1515.87,19.0,668.38,1,0,1,0,0,1
49,0,0,2,2017-09-05,0,0,0,0,-999,36.8,44401.21,13.0,669.66,0,1,1,1,0,1
50,0,0,0,2015-01-02,1,0,2,1,7,685.66,10152.41,-15.6435663,961.514863,1,0,1,4,0,1
54,1,0,5,2017-06-23,1,0,0,1,17,34.36,98123.61,12.0,787.66,1,0,0,3,1,0
11,1,1,0,2016-11-03,0,1,0,0,17,32.81,11423.85,7.0,593.53,1,0,1,2,0,1
15,1,0,3,2016-06-06,0,2,1,2,17,44.12,18437.57,20.0,730.27,0,1,0,3,0,0
12,0,1,2,2017-08-21,1,0,1,1,13,285.13,28529.21,9.0,653.86,1,0,0,3,0,1
54,1,0,3,2017-04-28,0,0,0,1,17,394.39,30014.56,7.0,728.84,1,1,0,3,0,0
42,0,1,5,2016-09-09,0,2,1,0,7,299.77,26899.54,18.0,796.98,1,1,1,1,0,0
58,1,1,2,2015-01-21,0,2,1,0,7,337.9,43499.42,6.0,701.28,0,1,1,4,0,1
15,0,0,3,2017-04-22,1,1,1,2,5,34.91,13105.84,14.0,601.01,0,1,0,3,0,1
19,0,2,0,2015-01-19,0,0,1,2,22,433.92,29515.54,19.0,697.62,0,1,1,4,0,1
32,1,0,2,2015-11-22,0,0,1,0,15,257.19,22159.75,18.0,613.4,1,0,0,3,0,1
45,0,1,1,2016-12-26,0,2,0,0,12,189.42,17157.82,19.0,768.99,1,0,0,3,0,0
41,0,0,2,2017-08-02,1,0,1,0,14,-935.5996048,38969.14,29.0,686.74,1,0,0,3,0,1
19,0,0,1,2015-11-08,1,0,1,0,6,92.22,15471.59,16.0,723.1,0,1,1,0,0,0
59,0,0,0,2016-05-11,0,0,1,1,16,30.39,38320.7,13.0,279.3273328,0,1,0,3,0,1
36,0,0,0,2016-04-03,0,0,2,2,11,225.08,11801.41,20.0,521.78,0,1,1,4,0,1
22,1,0,4,2015-09-18,0,0,1,2,10,292.52,59797.0,11.0,811.68,0,1,1,1,1,0
29,0,1,5,2017-06-03,0,1,1,1,6,396.96,99342.36,3.0,773.55,1,0,1,4,-1,0
15,0,1,3,2015-08-06,1,0,1,1,19,48.95,8289.94,29.0,757.44,0,1,1,4,0,0
25,0,0,0,2015-05-14,0,1,2,1,11,504.62,15888.09,15.0,602.01,0,1,0,3,0,1
28,1,0,4,2015-12-13,1,1,0,1,14,248.35,2124.5,11.0,778.94,0,1,1,1,0,0
37,0,0,5,2017-12-07,1,1,0,0,5,85.33,80259.86,11.0,790.78,0,1,0,3,1,0
64,0,1,4,2017-01-26,1,2,2,2,2,673.79,42654.4,11.0,770.86,1,1,1,4,1,0
38,1,0,1,2016-12-29,1,1,0,1,12,959.31,9356.33,16.0,665.68,1,0,0,3,0,1
33,0,1,1,2017-02-07,1,1,1,2,12,112.76,31326.18,27.0,1097.501362,1,0,0,3,0,0
59,0,1,2,2015-08-09,0,2,0,2,-999,209.93,3137.43,16.0,653.52,1,1,0,3,0,0
37,1,0,2,2015-10-18,1,2,1,0,12,333.6,24631.88,26.0,697.62,1,0,0,3,0,1
57,0,2,0,2016-05-04,0,2,0,0,13,139.07,5283.38,20.0,289.9441606,1,0,0,3,0,1
63,1,0,2,2017-08-13,1,1,1,2,14,58.38,27471.68,16.0,695.57,1,0,1,0,-1,1
15,0,0,0,2017-04-15,0,1,0,1,13,66.49,44991.07,24.0,681.59,0,1,1,2,0,1
54,1,2,1,2016-03-09,0,0,1,2,15,30.42,49030.56,13.0,736.76,1,0,1,1,0,0
47,0,2,2,2017-08-07,0,2,0,0,12,198.37,23917.85,26.0,697.62,0,1,1,1,-1,1
12,1,0,1,2016-03-20,0,0,1,1,20,117.08,10740.4,18.0,738.71,0,1,1,0,1,0
38,0,1,1,2015-09-26,0,0,1,0,9,174.78,24891.48,24.0,375.2938913,0,1,1,4,0,1
11,0,1,1,2017-06-15,1,1,2,2,16,488.97,47710.88,29.0,619.8,0,1,1,0,0,1
34,0,0,4,2017-01-28,1,1,0,0,4,228.7,41837.82,-3.937001135,251.313584,1,0,1,0,0,0
57,0,0,4,2016-05-28,1,0,0,2,12,34.91,47536.49,15.0,413.6443912,1,0,0,3,0,0
48,1,1,5,2016-04-13,0,2,0,2,15,94.48,18740.26,19.0,741.93,1,0,0,3,0,0
38,1,1,5,2015-03-21,0,1,0,2,-999,62.71,49594.85,9.0,739.68,0,1,0,3,-1,0
59,0,0,3,2017-12-21,0,1,0,2,11,33.05,35055.84,25.0,344.0097815,0,1,1,0,0,1
56,0,1,0,2016-11-14,0,1,0,1,3,321.15,8487.56,14.0,630.27,1,1,1,2,-1,1
21,0,1,0,2016-08-18,0,1,1,1,23,32.7,14071.9,20.0,661.45,0,1,1,4,0,1
28,1,1,0,2016-03-21,1,1,1,2,20,186.97,27230.66,19.0,697.62,0,1,0,3,0,0
64,0,0,0,2015-05-26,0,0,0,1,12,97.22,33098.78,27.0,658.08,1,0,1,0,0,1
46,1,0,4,2016-07-17,0,0,1,2,16,210.5,23838.97,9.0,764.97,1,1,0,3,-1,0
36,0,0,3,2015-07-22,1,0,1,1,15,817.69,40393.86,18.0,699.24,1,0,1,0,-1,1
38,0,2,3,2015-10-14,1,0,1,2,11,63.92,45124.03,6.0,624.66,0,1,0,3,0,1
25,0,0,4,2017-12-18,1,1,0,0,18,677.27,50951.93,16.0,730.44,0,1,0,3,1,0
22,0,1,2,2017-10-09,1,2,0,0,22,35.28,1317.35,25.0,603.53,0,1,1,4,0,1
31,1,1,0,2017-02-17,1,1,0,2,11,43.09,19209.67,10.0,611.5,1,0,1,0,0,1
51,0,0,0,2015-04-09,1,1,0,2,4,82.64,20679.49,47.98132302,991.6098704,1,0,0,3,0,1
11,0,1,5,2017-08-29,0,1,1,0,15,33.33,20963.55,16.0,767.82,0,1,0,3,0,0
21,0,1,1,2015-11-26,0,1,0,2,9,43.84,17267.56,20.0,710.82,0,1,0,3,0,0
41,0,0,5,2015-04-11,1,2,0,1,5,37.33,47379.42,12.0,765.4,0,1,1,4,-1,0
28,0,0,0,2017-07-23,1,1,1,2,14,291.18,14737.51,29.0,680.04,1,0,1,4,0,1
63,0,0,1,2015-08-30,0,1,0,2,7,895.1374532,44637.18,21.0,611.46,1,0,0,3,0,1
32,0,0,5,2017-11-04,0,1,1,0,3,-817.2711957,38656.35,9.0,487.9106112,0,1,1,2,0,0
40,0,1,2,2016-10-26,1,0,0,1,23,519.53,20263.51,23.0,697.62,1,1,1,0,0,1
11,0,2,1,2017-04-02,0,1,0,0,10,274.08,25305.84,18.0,1034.226929,1,1,1,0,0,1
16,1,1,1,2016-08-24,0,0,0,0,3,226.99,28426.3,11.0,719.67,1,1,1,1,-1,0
36,1,0,2,2016-05-10,1,2,1,2,12,-895.8809239,8002.79,25.0,1577.495735,0,1,0,3,-1,1
30,1,0,3,2016-05-23,1,2,0,2,16,58.9,38478.65,10.0,709.29,1,0,0,3,-1,1
63,0,1,1,2016-11-22,0,2,2,1,16,455.32,49789.54,16.0,807.33,0,1,0,3,-1,0
63,1,1,2,2015-07-11,0,1,0,1,19,34.37,19600.12,48.29441349,1018.579878,1,0,1,4,0,1
17,0,1,1,2015-10-07,1,0,2,1,22,332.79,12153.31,10.0,712.15,1,0,0,3,0,1
36,1,0,1,2015-08-15,0,1,0,2,17,266.86,18770.5,18.0,697.62,0,1,0,3,0,1
29,0,0,4,2015-09-18,1,2,0,0,19,444.1,17671.05,22.0,1176.111342,0,1,0,3,0,0
16,1,2,3,2015-12-26,0,2,0,0,-999,31.84,96699.63,6.0,712.0,0,1,1,1,1,0
23,0,2,2,2017-09-09,1,0,0,2,6,37.42,7565.97,20.0,1130.411626,1,0,0,3,0,1
20,0,0,1,2015-12-24,0,1,1,1,20,101.24,35154.03,27.0,705.39,1,0,1,1,0,0
64,0,2,2,2015-11-23,1,1,0,0,13,203.61,12963.35,16.0,598.78,0,1,0,3,0,1
35,1,1,4,2017-05-30,1,0,0,0,13,167.36,37036.84,16.0,243.6608619,0,1,0,3,-1,0
43,0,1,0,2015-05-10,0,2,0,1,16,222.87,45707.89,16.0,707.72,1,0,0,3,0,1
46,0,1,0,2015-04-02,1,1,0,1,6,883.64,35069.02,15.0,615.43,1,0,1,0,-1,1
31,1,1,4,2017-09-05,1,1,0,2,5,113.63,7753.31,7.0,720.79,0,1,0,3,0,0
19,1,0,3,2016-10-12,0,2,0,1,22,362.05,14366.87,14.0,614.03,1,0,0,3,0,1
24,1,0,2,2017-11-18,0,1,2,0,4,398.09,39968.31,9.0,674.54,1,0,0,3,-1,0
34,0,1,0,2017-03-20,1,2,2,1,7,1642.928395,37820.18,20.0,1165.655592,1,0,0,3,0,1
